id,name
1,Jim O'Rourke
2,Stereolab
3,Sonic Youth
4,Wilco
5,Brian Eno
6,Roxy Music
7,Slowdive
8,U2
9,Coldplay
10,Daniel Lanois
11,Bob Dylan
12,Emmy Lou Harris
13,Willie Nelson
14,Talking Heads
15,The Byrds
16,Neil Young
17,The Autumn Defence
18,Harold Budd
19,Jon Hassell
20,Ry Cooder
21,David Bowie
22,Elvis Costello
23,Bill Frissell
24,Burt Bacharach
25,Paul MacCartney
26,Gastr Del Sol
27,Cluster
28,Harmonia
29,Neu
30,Japan
31,YMO
32,Haruomi Hosono
33,Makota Kubato
34,Ryuichi Sakamoto
35,Richard Thompson
